
S5,5A-5E,"英國語文 試卷一 閱讀",2025-06-02T08:30:00,90,6,"SCP",禮堂,"SCP,H1,H2,H3,CLL,HPP"
S5,5A-5E,"英國語文 試卷二 寫作",2025-06-02T10:45:00,120,6,"SCP",禮堂,"YCL,H1,H2,H3,YNT,CL"
S5,5A-5E,"數學 必修部分 試卷一",2025-06-03T08:30:00,135,6,"THN",禮堂,"SFS,H1,H2,H3,WYT,KYC"
S5,5A-5E,"數學 必修部分 試卷二",2025-06-03T11:30:00,75,6,"KYC",禮堂,"KYC,H1,H2,H3,LSH,JC"
S5,5A-5E,"中國語文 試卷一 閱讀能力",2025-06-04T08:30:00,90,6,"YMM",禮堂,"SYS,H1,H2,H3,SFS,BL"
S5,5A-5E,"中國語文 試卷二 寫作",2025-06-04T10:45:00,135,6,"TWY",禮堂,"SYY,H1,H2,H3,SCY,JY"
S3,3A-3D,"英國語文（General English）",2025-06-05T08:30:00,75,6,"TKK",禮堂,"WYT,H1,H2,H3,KML,SCC"
S5,5A,"公民與社會發展科",2025-06-05T08:30:00,120,1,"YLC",304,"WYT,H1,H2,H3"
S3,3A-3D,"中語語文 試卷二 寫作能力",2025-06-05T10:30:00,75,6,"WYT",禮堂,"H1,H2,H3,SKL,HKY,SMT"
S3,3A-3D,"音樂",2025-06-06T08:30:00,30,6,"YIL",禮堂,"H1,H2,H3,MKC,SYS,WYT"
,3/F,"Floor Invigilator",2025-06-06T08:30:00,240,1,"",3/F,"H4"
S3,3A-3D,"英國語文 聆聽",2025-06-06T09:30:00,70,6,"KKP",禮堂,"H1,H2,H3,LCL,SS,YIL"
S4,4A-E,"數學 必修部分 試卷一",2025-06-09T08:30:00,120,6,"KL",禮堂,"H1,H2,H3,KYC,EL,KKL"
,1/F,"Floor Invigilator",2025-06-09T08:30:00,240,1,"",1/F,"H4"
,2/F,"Floor Invigilator",2025-06-09T08:30:00,240,1,"",2/F,"H5"
,3/F,"Floor Invigilator",2025-06-09T08:30:00,240,1,"",3/F,"H6"
,4/F,"Floor Invigilator",2025-06-09T08:30:00,240,1,"",4/F,"H7"
S4,4A-E,"數學 必修部分 試卷二",2025-06-09T11:15:00,60,6,"CYL",禮堂,"H1,H2,H3,TKK,CKA,CL"
S4,4A-E,"中國語文 試卷一 閱讀能力",2025-06-10T08:30:00,90,6,"WYT",禮堂,"H1,H2,H3,CLL,HPP,SSL"
,1/F,"Floor Invigilator",2025-06-10T08:30:00,240,1,"",1/F,"H4"
,2/F,"Floor Invigilator",2025-06-10T08:30:00,240,1,"",2/F,"H5"
,3/F,"Floor Invigilator",2025-06-10T08:30:00,240,1,"",3/F,"H6"
,4/F,"Floor Invigilator",2025-06-10T08:30:00,240,1,"",4/F,"H7"
S4,4A-E,"中國語文 試卷二 寫作能力",2025-06-10T10:45:00,135,6,"YPT",禮堂,"H1,H2,H3,MCW,MC,KPF"
S4,4A-E,"英國語文 試卷一 閱讀",2025-06-11T08:30:00,90,6,"MLT",禮堂,"H1,H2,H3,TCL,KML,SCC"
